Mosque Name,Address,City,State,Zip,Latitude,Longitude
Masjid Al Rasul,11211 S. Central Ave,Los Angeles,CA,90059,33.93287,-118.25455
Masjid Al Salam,2900 Florence Ave,Los Angeles,CA,90043,33.97452,-118.32457
Masjid Bilal Ibn Rabah,5450 Crenshaw Blvd,Los Angeles,CA,90043,33.99196,-118.33054
Bilal Islamic Center,4016 S. Central Ave,Los Angeles,CA,90011,34.01066,-118.25596
Masjid Al Mumin,1635 S. St. Andrews Place,Los Angeles,CA,90019,34.0425,-118.31194
Masjid Al-Muminun,1127 Hank Aaron Dr,Atlanta,GA,30315,33.7236669,-84.3884107
Masjid Al Quran,500 McDonough Blvd,Atlanta,GA,30315,33.7141867,-84.3718761
West End Community Masjid,1193 Lucille SW,Atlanta,GA,30310,33.7425392,-84.4268876
Masjid Ash-Shura,3095 Jonesboro Rd. SE,Atlanta,GA,30354,33.6698124,-84.3740999
Atlanta Masjid of al Islam,560 Fayetteville Rd SE,Atlanta,GA,30316,33.7395572,-84.310594
Masjid al-Latif,1747 W. 51st St.,Chicago,IL,60609,41.801063,-87.6691226
Masjid Al-Farooq,8950 S. Stony Island Ave.,Chicago,IL,60617,41.7317712,-87.5859234
The Ephraim Bahar Cultural Center,2525 W. 71st St.,Chicago,IL,60629,41.7643883,-87.6867325
Masjid Al-Ihsan,321 E. Pershing Rd.,Chicago,IL,60653,41.8236574,-87.6183575
Masjid Al Faatir,1200 E. 47th St,Chicago,IL,60653,41.8100308,-87.5963017
Masjid Mujahideen,413 S 60TH ST,Philadelphia,PA,19143,39.9551044,-75.2419346
International Muslim Brotherhood,4637 Lancaster Ave,Philadelphia,PA,19131,39.9711851,-75.2148836
Masjidullah,7700 Ogontz Ave,Philadelphia,PA,19150,40.0708596,-75.157725
Masjid Al-Hashar,2823 N 22nd St,Philadelphia,PA,19132,39.9977,-75.1668134
Masjid As-Sunnah an-Nabawiyyah,4944 Germantown Ave.,Philadelphia,PA,19144,40.0288119,-75.1635067
Philadelphia Masjid,4700 Wyalusing Avenue,Philadelphia,PA,19131,39.9703718,-75.2161909
Masjid Muhammad,414 E. Penn St.,Philadelphia,PA,19138,40.0374321,-75.1621795
Islamic Cultural Preservation Information Center,4243 Lancaster Ave.,Philadelphia,PA,19104,39.967572,-75.2089612
United Muslim Masjid,810 S. 15th St.,Philadelphia,PA,19146,39.9407271,-75.1681053
Masjid Ahlil Hadeeth,6711 Woodland Ave.,Philadelphia,PA,19142,39.9237049,-75.2374115
Masjid Muqbil Bin Hadee,2735 W. Alleghany Ave.,Philadelphia,PA,19132,40.0047028,-75.1748604
Masjid Al-Wasatiyah Wal-Itidaal,5727 Hoffman Ave.,Philadelphia,PA,19143,39.9443439,-75.2375237
Masjid ibn Uthaymeen,6502 Elmwood Ave.,Philadelphia,PA,19142,39.9217889,-75.2304091
Nasir Mosque,5120 N. 10th St.,Philadelphia,PA,19141,40.030603,-75.1398262